Unit,year,D1,D2,D3,gini,valid_d1
Household,1969,0.2992902893488762,0.15219069877132338,0.09498120855952319,0.4014194213022476,0.4014194213022476
Household,1970,0.3110896930823329,0.16026883902505518,0.10064870561510314,0.37782061383533416,0.37782061383533416
Household,1971,0.3070450129807061,0.1563685391354419,0.09722271952486886,0.38590997403858784,0.38590997403858784
Household,1972,0.3087878789070321,0.1587490298140602,0.09955198980581759,0.38242424218593585,0.38242424218593585
Household,1973,0.31160774951558834,0.1611292099260132,0.10140356361881694,0.3767845009688233,0.3767845009688233
Household,1974,0.30994560379430053,0.15957368224554058,0.10022399468999071,0.38010879241139894,0.38010879241139894
Household,1975,0.3104681793976915,0.16068115979951417,0.10112156638100876,0.379063641204617,0.379063641204617
Household,1976,0.31007634882003765,0.15961710115731625,0.10011109239021744,0.3798473023599247,0.3798473023599247
Household,1977,0.30356622893066654,0.15423951424733415,0.09576339954682583,0.3928675421386669,0.3928675421386669
Household,1978,0.3068553963354292,0.1556357942386259,0.09635125184413637,0.3862892073291416,0.3862892073291416
Household,1979,0.30730705091491184,0.15575100717773543,0.09639455700775221,0.3853858981701763,0.3853858981701763
Household,1980,0.30546093485554376,0.15503734659580148,0.09612171393867258,0.38907813028891247,0.38907813028891247
Household,1981,0.2972991147550863,0.14999683032856265,0.09262025729032246,0.4054017704898274,0.4054017704898274
Household,1982,0.29676715221548655,0.14820020269340792,0.09065617941463604,0.4064656955690269,0.4064656955690269
Household,1983,0.2937917208234106,0.14528012882457764,0.08818458309940458,0.4124165583531788,0.4124165583531788
Household,1984,0.2902729173616242,0.14222238165218265,0.08565129547803285,0.4194541652767516,0.4194541652767516
Household,1985,0.2892602979200544,0.14142171329124775,0.08495595291960667,0.42147940415989116,0.42147940415989116
Household,1986,0.2882122618842761,0.14101617056771842,0.0847416836419862,0.42357547623144776,0.42357547623144776
Household,1987,0.28644983950759983,0.14010442156753913,0.08431362181299032,0.42710032098480033,0.42710032098480033
Household,1988,0.2826776047835956,0.1380349256855272,0.08293482995060962,0.4346447904328088,0.4346447904328088
Household,1989,0.2827883009004838,0.13841292325151333,0.08333857062216429,0.4344233981990324,0.4344233981990324
Household,1990,0.27949328206491325,0.1357024140811494,0.08122310128815058,0.4410134358701735,0.4410134358701735
Household,1991,0.2803135362531482,0.13593002910419819,0.0813252158082821,0.4393729274937036,0.4393729274937036
Household,1992,0.2762814202398449,0.13289328829990174,0.07887317961092152,0.44743715952031016,0.44743715952031016
Household,1993,0.2708705805259606,0.12813065246156882,0.07506660118038613,0.45825883894807884,0.45825883894807884
Household,1994,0.2593972014657461,0.1203723332300923,0.06889332160265185,0.48120559706850785,0.48120559706850785
Household,1995,0.2644672652257713,0.12538099908771777,0.07358791745912384,0.4710654695484574,0.4710654695484574
Household,1996,0.2688746327043981,0.12870927340829494,0.07622247349490646,0.4622507345912038,0.4622507345912038
Household,1997,0.27534904883703337,0.13459747118981022,0.08119791541144031,0.44930190232593326,0.44930190232593326
Household,1999,0.2731010403107763,0.13412379040998412,0.08112855059694757,0.4537979193784474,0.4537979193784474
Household,2001,0.2651392715137169,0.12952673230104422,0.0782120623387186,0.4697214569725662,0.4697214569725662
Household,2003,0.2700360538896617,0.13069855714078252,0.07805318818560106,0.45992789222067665,0.45992789222067665
Household,2005,0.2638813383509024,0.12804648467111487,0.07709206852714495,0.47223732329819523,0.47223732329819523
Household,2007,0.2636389311351456,0.12689796295739483,0.07586341578879008,0.47272213772970884,0.47272213772970884
Household,2009,0.263697577083879,0.12751264947539104,0.07652812153701766,0.47260484583224205,0.47260484583224205
Household,2011,0.2608959894236154,0.12369568858833035,0.07299752499873446,0.47820802115276917,0.47820802115276917
Household,2013,0.257514757952396,0.12128068707795445,0.07127109253060948,0.48497048409520804,0.48497048409520804
Household,2015,0.26189517822919417,0.12335866826341978,0.0725696692026624,0.47620964354161166,0.47620964354161166
Household,2017,0.2643402147824571,0.12636341957454286,0.0752026635444221,0.47131957043508577,0.47131957043508577
Household,2019,0.2608925636622343,0.12337934448566398,0.07273165659893069,0.4782148726755314,0.4782148726755314
Household,2021,0.25127831422302965,0.11623711508578921,0.06722571125385948,0.4974433715539407,0.4974433715539407
Clan,1969,0.34170886813937684,0.18714508742613079,0.12329797804777634,0.3165822637212463,0.3165822637212463
Clan,1970,0.34807727202586825,0.19250150470790153,0.1272257367891425,0.3038454559482635,0.3038454559482635
Clan,1971,0.34598940584767385,0.1899383490720966,0.12472352223712743,0.3080211883046523,0.3080211883046523
Clan,1972,0.34441970557587454,0.1901805824803858,0.12586326015441013,0.31116058884825093,0.31116058884825093
Clan,1973,0.3482081092932099,0.19278887693632737,0.12767577879627162,0.3035837814135802,0.3035837814135802
Clan,1974,0.34499395803413285,0.1899632774608199,0.12547658245188925,0.3100120839317343,0.3100120839317343
Clan,1975,0.34138440309347146,0.18736242666770436,0.12365415185613446,0.3172311938130571,0.3172311938130571
Clan,1976,0.3383523811575014,0.18496207783372787,0.12176028212731196,0.32329523768499724,0.32329523768499724
Clan,1977,0.3317511174750787,0.17837498778663724,0.11584249100501678,0.33649776504984263,0.33649776504984263
Clan,1978,0.3354868000935998,0.1816128975758911,0.11850103716333212,0.32902639981280035,0.32902639981280035
Clan,1979,0.33505317627902437,0.1808558006983911,0.1177578996563666,0.32989364744195127,0.32989364744195127
Clan,1980,0.3333028857831952,0.1800105582245405,0.11732162233580576,0.33339422843360955,0.33339422843360955
Clan,1981,0.3272481840049069,0.17632987830637403,0.11469626418123041,0.3455036319901862,0.3455036319901862
Clan,1982,0.32648029867117473,0.1748207693183805,0.11325809855068404,0.34703940265765054,0.34703940265765054
Clan,1983,0.3236917567691115,0.1720117442154498,0.11088006577167897,0.352616486461777,0.352616486461777
Clan,1984,0.31864422959987626,0.16747562732147667,0.10707350990988553,0.3627115408002475,0.3627115408002475
Clan,1985,0.3170409023666587,0.16625964165565116,0.10604082176485696,0.36591819526668257,0.36591819526668257
Clan,1986,0.31597230569105866,0.16567276771920575,0.10570031703236675,0.3680553886178827,0.3680553886178827
Clan,1987,0.31529626754441475,0.16551007728121575,0.1057958172667607,0.3694074649111705,0.3694074649111705
Clan,1988,0.3116332917135997,0.16348394079170964,0.1045102285514774,0.3767334165728006,0.3767334165728006
Clan,1989,0.3097272900613943,0.16217289611625302,0.10356493278775472,0.38054541987721135,0.38054541987721135
Clan,1990,0.30812377427739,0.16088079696482532,0.10259797591582379,0.38375245144521997,0.38375245144521997
Clan,1991,0.30865330423469256,0.1609849533440417,0.10261798402439501,0.3826933915306149,0.3826933915306149
Clan,1992,0.30700097364530127,0.16036751299920485,0.10221635872765605,0.38599805270939747,0.38599805270939747
Clan,1993,0.3052615495595115,0.1581541793723527,0.10043042455707757,0.389476900880977,0.389476900880977
Clan,1994,0.29653402005983814,0.1514818656721656,0.09465941344930025,0.4069319598803237,0.4069319598803237
Clan,1995,0.29934902016756676,0.15426869959748615,0.09741992007495162,0.4013019596648665,0.4013019596648665
Clan,1996,0.3010887570685882,0.15544249033122473,0.09832387613508108,0.39782248586282365,0.39782248586282365
Clan,1997,0.301262700406847,0.15554829205062037,0.09854232648452213,0.397474599186306,0.397474599186306
Clan,1999,0.2952802856485527,0.1511729293472585,0.0952156352087764,0.4094394287028946,0.4094394287028946
Clan,2001,0.2883115170746636,0.14685496273070836,0.0924238733430997,0.42337696585067275,0.42337696585067275
Clan,2003,0.294119128278827,0.14953448613104023,0.09348313327026105,0.41176174344234595,0.41176174344234595
Clan,2005,0.2908849304708364,0.14915112885148404,0.09416934976671142,0.4182301390583272,0.4182301390583272
Clan,2007,0.2920103813736393,0.14871880186314373,0.09340761182505652,0.41597923725272135,0.41597923725272135
