Unit,year,D1,D2,D3,C1,C2,C3,gini,valid_d1
Household,1984,0.05174512726430412,9.237176397422974e-4,-0.009337530277219402,-0.012947874822428077,-0.12938600417346474,-0.19546458271980982,0.8965097454713917,0.8965097454713917
Household,1989,0.059554595459438475,0.0027464925665377326,-0.008701143913021047,0.001143759798091669,-0.1168216713226947,-0.1793522458338484,0.880890809081123,0.880890809081123
Household,1994,0.060226879359242105,2.1129145636838363e-4,-0.011509828522462146,-0.002947031764339587,-0.1263478222471638,-0.18983867055529857,0.8795462412815158,0.8795462412815158
Household,1999,0.05695834324710816,0.0024294551411733947,-0.008184425041311337,0.009099000337284918,-0.09571868581964653,-0.14722221144122957,0.8860833135057837,0.8860833135057837
Household,2001,0.05703104188537149,2.2647542281117785e-4,-0.01040531163411421,0.006105491268277684,-0.10185110123418796,-0.15311636498549863,0.885937916229257,0.885937916229257
Household,2003,0.0498885681164819,-0.004695073525458557,-0.014784038492179467,-0.014465526469499947,-0.12870818917196508,-0.18601967346975964,0.9002228637670362,0.9002228637670362
Household,2005,0.04872311644273139,-0.00534290103189758,-0.014652833948476229,-0.011905700950002259,-0.12125763478546794,-0.17387210063035421,0.9025537671145372,0.9025537671145372
Household,2007,0.039049539592598624,-0.011026717251600886,-0.019142530671019196,-0.04414524226126267,-0.16638956370772262,-0.23304426968418002,0.9219009208148028,0.9219009208148028
Household,2009,0.01887428251902027,-0.022010175778627766,-0.0279903146314155,-0.09533644715179518,-0.2284214593416339,-0.30961692534450885,0.9622514349619594,0.9622514349619594
Household,2011,0.01798506784849941,-0.030249680755874905,-0.03685387460653249,-0.12011896418839287,-0.2762080640737846,-0.3689375749768612,0.9640298643030012,0.9640298643030012
Household,2013,0.009240093580353935,-0.039369266561950736,-0.045639999109378694,-0.16249313043153046,-0.3434664480237653,-0.4561457721927256,0.9815198128392921,0.9815198128392921
Household,2015,0.0023436984458394847,-0.042649055180126086,-0.0480811555542595,-0.17671375148749038,-0.3581148998666626,-0.4731987670298039,0.995312603108321,0.995312603108321
Household,2017,0.005875351123545769,-0.041023900109055246,-0.04706972833911774,-0.17527084764542283,-0.3622923975379388,-0.48190274614332385,0.9882492977529085,0.9882492977529085
Household,2019,0.006542735487899547,-0.04020073758724254,-0.04636164731712534,-0.17492238571340568,-0.36293024240260907,-0.48409425722305044,0.986914529024201,0.986914529024201
Household,2021,0.020181334654997635,-0.02938889863785403,-0.03642921889037092,-0.11852789443052937,-0.27741845817105315,-0.3720443392997993,0.9596373306900048,0.9596373306900048
Clan,1984,0.1025600921868086,0.027871859201617808,0.00845200300673607,0.09138144638049833,-0.022357291612620206,-0.07534372622135696,0.7948798156263828,0.7948798156263828
Clan,1989,0.11650554016801085,0.033372241135515214,0.011436247433853842,0.11331511814449705,-0.006380844047027735,-0.05962962777381474,0.7669889196639783,0.7669889196639783
Clan,1994,0.13293765001025074,0.04079761345440277,0.015952292958741003,0.14567907418998186,0.025482848359462285,-0.02297214764241068,0.7341246999794986,0.7341246999794986
Clan,1999,0.11657761595267338,0.03558350055484099,0.01444734796877182,0.13040138237585894,0.027647532846371295,-0.011903951562704556,0.7668447680946533,0.7668447680946533
Clan,2001,0.12506894727649603,0.038289133878394714,0.015639948949438834,0.14494843202276167,0.03975896949253139,0.002204753421204998,0.7498621054470079,0.7498621054470079
Clan,2003,0.12217472426988273,0.03681803943562469,0.014418770357067474,0.13886552026554394,0.03338159199132238,-0.005154671166453406,0.7556505514602345,0.7556505514602345
Clan,2005,0.12506213527067458,0.037439058014331596,0.014563572108271094,0.14231635773333065,0.034508444925311854,-0.004395919633529732,0.7498757294586509,0.7498757294586509
Clan,2007,0.1147083865552471,0.030743280675610465,0.009439359557876352,0.11345531795711292,-0.0025061371962683825,-0.04987412680781836,0.7705832268895059,0.7705832268895059
Clan,2009,0.08553899397916342,0.017232124904103384,0.0011486191508902645,0.06369955671330127,-0.04367887453172417,-0.09136649915374112,0.8289220120416732,0.8289220120416732
Clan,2011,0.10045953907013046,0.018454338176743662,-5.968073902089734e-4,0.07115765719463099,-0.058603763750998884,-0.11558715289161368,0.7990809218597391,0.7990809218597391
Clan,2013,0.09785579080981216,0.016096399512775247,-0.002549594494029627,0.06641750145564844,-0.06287657870832744,-0.11845946733165397,0.8042884183803757,0.8042884183803757
Clan,2015,0.08803521432456883,0.009849785535894658,-0.007226967791841999,0.04030078148226909,-0.0954688656845988,-0.1579779768307401,0.8239295713508623,0.8239295713508623
Clan,2017,0.09884989751511143,0.016852189970345557,-0.0019445433287414299,0.06495994612438726,-0.0677799027814485,-0.12694813912769087,0.8023002049697772,0.8023002049697772
Clan,2019,0.09248760204600924,0.01375301284501574,-0.003788305656891096,0.05586344481106537,-0.07324831446988785,-0.1305019909723557,0.8150247959079815,0.8150247959079815
Clan,2021,0.10169731821018432,0.020327206987053138,0.0017420764833598783,0.08690478549463945,-0.02958506543108959,-0.07486840862721411,0.7966053635796313,0.7966053635796313
