Unit,year,D1,D2,D3,C1,C2,C3,gini,valid_d1
Household,1969,0.2992902893488762,0.15219069877132338,0.09498120855952319,0.4648550610456157,0.33112954339347966,0.26840826693323444,0.4014194213022476,0.4014194213022476
Household,1970,0.3110896930823329,0.16026883902505518,0.10064870561510314,0.48503453842313515,0.34788969068160447,0.281431277484823,0.37782061383533416,0.37782061383533416
Household,1971,0.3070450129807061,0.1563685391354419,0.09722271952486886,0.47427187439158053,0.3344537228217476,0.26712777552945877,0.38590997403858784,0.38590997403858784
Household,1972,0.3087878789070321,0.1587490298140602,0.09955198980581759,0.48171600333728787,0.34585624886051297,0.28066082856967844,0.38242424218593585,0.38242424218593585
Household,1973,0.31160774951558834,0.1611292099260132,0.10140356361881694,0.4868498532217591,0.35048420741234315,0.2840324962294941,0.3767845009688233,0.3767845009688233
Household,1974,0.30994560379430053,0.15957368224554058,0.10022399468999071,0.48374317528142224,0.3475951429742447,0.2820321910930569,0.38010879241139894,0.38010879241139894
Household,1975,0.3104681793976915,0.16068115979951417,0.10112156638100876,0.4846379640037055,0.3483395692120274,0.2814876141187723,0.379063641204617,0.379063641204617
Household,1976,0.31007634882003765,0.15961710115731625,0.10011109239021744,0.48306891131085294,0.3459851249816335,0.27955203573647636,0.3798473023599247,0.3798473023599247
Household,1977,0.30356622893066654,0.15423951424733415,0.09576339954682583,0.4685462096063572,0.3299599613513814,0.26358067065607266,0.3928675421386669,0.3928675421386669
Household,1978,0.3068553963354292,0.1556357942386259,0.09635125184413637,0.47218827478686987,0.3306657569028809,0.2625449439963834,0.3862892073291416,0.3862892073291416
Household,1979,0.30730705091491184,0.15575100717773543,0.09639455700775221,0.47278522650787325,0.3309563511859234,0.262808016012283,0.3853858981701763,0.3853858981701763
Household,1980,0.30546093485554376,0.15503734659580148,0.09612171393867258,0.47074444025672824,0.33056701080236534,0.26329449630984614,0.38907813028891247,0.38907813028891247
Household,1981,0.2972991147550863,0.14999683032856265,0.09262025729032246,0.4558764257582585,0.31715462200634453,0.2507366875166731,0.4054017704898274,0.4054017704898274
Household,1982,0.29676715221548655,0.14820020269340792,0.09065617941463604,0.4513183816280771,0.3091024588251805,0.24135338419765776,0.4064656955690269,0.4064656955690269
Household,1983,0.2937917208234106,0.14528012882457764,0.08818458309940458,0.44362610048518414,0.2996687593235474,0.2315829457484554,0.4124165583531788,0.4124165583531788
Household,1984,0.2902729173616242,0.14222238165218265,0.08565129547803285,0.43521192963687233,0.2898780245504985,0.22148346434747257,0.4194541652767516,0.4194541652767516
Household,1985,0.2892602979200544,0.14142171329124775,0.08495595291960667,0.43282235094333527,0.2871241060465626,0.2185535891329723,0.42147940415989116,0.42147940415989116
Household,1986,0.2882122618842761,0.14101617056771842,0.0847416836419862,0.4314617789070465,0.28649903404554095,0.21822429521673226,0.42357547623144776,0.42357547623144776
Household,1987,0.28644983950759983,0.14010442156753913,0.08431362181299032,0.4291454026095064,0.2853911262038122,0.21793005695441137,0.42710032098480033,0.42710032098480033
