year,pct_black,se_black,pct_nonblack,se_nonblack
1969,10.882315762861621,0.8161752404647985,89.11768423713838,0.8161752404647985
1970,10.945106388276804,0.8223937917745002,89.0548936117232,0.8223937917745002
1971,11.139637360060318,0.8342575612154646,88.86036263993968,0.8342575612154646
1972,10.923294415872542,0.824236124494388,89.07670558412745,0.824236124494388
1973,10.917622773750555,0.8625914200047493,89.08237722624945,0.8625914200047493
1974,11.138526245653383,0.9034161218404356,88.86147375434662,0.9034161218404356
1975,11.285661583866275,0.9029584550985179,88.71433841613371,0.9029584550985179
1976,11.280945715365522,0.9499652566345586,88.71905428463448,0.9499652566345586
1977,11.0696040223734,0.9426720137898195,88.9303959776266,0.9426720137898195
1978,11.041679244903376,0.9233781468859253,88.95832075509662,0.9233781468859253
1979,11.898180246535379,0.9880912267740136,88.10181975346462,0.9880912267740136
1980,11.858536628908787,1.0277221522133402,88.1414633710912,1.0277221522133402
1981,11.757634046646023,1.0178518790741573,88.24236595335397,1.0178518790741573
1982,11.807487761067868,1.0427328112165493,88.19251223893212,1.0427328112165493
1983,11.77232591339277,1.0947551433777787,88.22767408660724,1.0947551433777787
1984,12.683811568742358,1.1795752631339065,87.31618843125763,1.1795752631339065
1985,12.713316817609416,1.1116954165956336,87.28668318239059,1.1116954165956336
1986,12.758970831490785,1.1105908488289302,87.24102916850921,1.1105908488289302
1987,12.746850773197805,1.1196886923837484,87.2531492268022,1.1196886923837484
1988,12.781510258389783,1.130842687286447,87.21848974161021,1.130842687286447
1989,13.847351110705336,1.2829527797879523,86.15264888929465,1.2829527797879523
1990,13.789842914424485,1.3217032559948747,86.21015708557552,1.3217032559948747
1991,13.954423544848748,1.3858692510135477,86.04557645515125,1.3858692510135477
1992,13.869900400603807,1.3663544245090409,86.13009959939619,1.3663544245090409
1993,13.502369886465893,1.3553069845165027,86.49763011353411,1.3553069845165027
1994,13.980053655566852,1.4508809696753882,86.01994634443315,1.4508809696753882
1995,13.845502221092875,1.422418509910366,86.15449777890713,1.422418509910366
1996,13.601442292946771,1.395031717537353,86.39855770705323,1.395031717537353
1997,13.012347240510632,1.4666458265257816,86.98765275948936,1.4666458265257816
1999,13.080159053663573,1.5189644047797586,86.91984094633642,1.5189644047797586
2001,13.095977425041166,1.5297378457782644,86.90402257495884,1.5297378457782644
2003,13.400124928436549,1.5085103355975968,86.59987507156345,1.5085103355975968
2005,14.252253777588711,1.60329771354479,85.7477462224113,1.60329771354479
2007,14.349473217872102,1.6767723833701338,85.6505267821279,1.6767723833701338
2009,15.006007582865974,1.68003198654122,84.99399241713402,1.68003198654122
2011,15.450967192558995,1.6832369142632708,84.54903280744101,1.6832369142632708
2013,16.06566350392922,1.8101095202557747,83.93433649607078,1.8101095202557747
2015,16.1304597237972,1.7719484541598935,83.8695402762028,1.7719484541598935
2017,16.483217015988412,1.8117759082513993,83.5167829840116,1.8117759082513993
2019,16.444721619277804,1.7595021724045843,83.5552783807222,1.7595021724045843
2021,16.318605744463024,1.6339917860643742,83.68139425553697,1.6339917860643742
