year,C1_hh,C2_hh,C3_hh,C1_clan,C2_clan,C3_clan
1969,0.5185966586539136,0.3835812650800094,0.3131148817481122,0.41107437607395686,0.2897901432665598,0.2306475692888441
1970,0.5042553816953242,0.36987074414327265,0.30033750381318963,0.4003757694147831,0.2852972635648098,0.23019470633351122
1971,0.5143891941344251,0.37410289546248227,0.3021321314722968,0.3885741817122273,0.27328375228751234,0.21821861469879633
1972,0.5083575891855225,0.3704643746902043,0.299800115614956,0.39294953849822467,0.2787872633725122,0.22453045452570403
1973,0.5055708442409369,0.3669083183391628,0.2964198843134416,0.39577719476013673,0.278685841641504,0.22281881882830687
1974,0.5126553435845086,0.3742071892320127,0.302903565310667,0.405017146853184,0.2877185970468921,0.23072036077807961
1975,0.5096896136759876,0.37431920181029843,0.30541879433467245,0.42063998763826227,0.30015836237992355,0.241137809941196
1976,0.5122432560414031,0.3748755428724931,0.3044486897416261,0.42240825147933625,0.3039289526465588,0.24541204709911663
1977,0.5172408298124253,0.38035513753016903,0.3100575379483611,0.4344423482212069,0.31157168867452345,0.25105124178327853
1978,0.5149076447000764,0.3743209472434385,0.3023802086547874,0.43254972569470895,0.30937977260489985,0.24871867998765562
1979,0.5172146537085974,0.3778228456659983,0.3059079562486242,0.4385332873784161,0.3152072502484744,0.2532377900093379
1980,0.522907057471895,0.38553674955098416,0.3142071756897667,0.4404214558404228,0.3192467513574297,0.25814199807802335
1981,0.5435630530919953,0.40960360705899207,0.33986125123178457,0.45300540195975053,0.33193781542354533,0.27161930900728637
1982,0.5371791112085308,0.3985450617218805,0.32687095791587373,0.45466384291822104,0.3314430059827738,0.2700735885241645
1983,0.5384333035575093,0.398609921576263,0.3262636935596256,0.46306349561867066,0.3374948732717172,0.27435550452894025
1984,0.5469183679855335,0.40539173527862776,0.3316738242324057,0.4751910203956226,0.34881019892994714,0.28391388795223893
1985,0.5488864119797671,0.4077603002974838,0.33453372052437635,0.4797503578447618,0.353380975850599,0.28840659860784595
1986,0.5574945540299422,0.4171557192849455,0.3441758300355925,0.48500740197267067,0.35832185486039925,0.2932123867258479
1987,0.5597255143639952,0.42134215986973744,0.34912414436855055,0.4906572102643743,0.362807251223979,0.29699523998661953
1988,0.5689277291511042,0.4325578780713355,0.3614129391209228,0.4968638432268331,0.3721443411053281,0.30785401307046406
1989,0.5722100122753383,0.43709842434368656,0.36615154808132794,0.5055486755858075,0.38006511437989615,0.31502975275090156
1990,0.5751371379799061,0.4385206544450697,0.36671674006092864,0.5087524989132115,0.38247552210368996,0.31678505886342284
1991,0.5702324509752396,0.4323937015120221,0.35958956889849103,0.5054289909095081,0.3786569748335845,0.3124877137237362
1992,0.5779288303006174,0.4409885299332451,0.3686763900425006,0.5090135867507561,0.384378107259712,0.3192023817013542
1993,0.5873304754284823,0.44759989514325416,0.37304416562588405,0.513874158893543,0.38633792330678707,0.3190241269255374
1994,0.6091225782157283,0.4724600939138907,0.3991791449583948,0.5344180576812494,0.407798312089101,0.34141819007941687
1995,0.6038569732584322,0.4687625085562033,0.3965363273694743,0.5303190173124883,0.403962438681696,0.33702318803099474
1996,0.5925371960791692,0.45659020507263315,0.38414116642145524,0.5252274495786955,0.3986198074788546,0.3317538704079589
1997,0.5827506514124369,0.4484708829460147,0.3773741429394468,0.5172606698220079,0.39141795731537077,0.32502363638470955
1999,0.5935639812076158,0.4611946875195708,0.39117845395821715,0.5324081722909826,0.40417438132453176,0.3363253341932863
2001,0.6032837794676175,0.4762128717865261,0.40797168087281394,0.5438387312747341,0.41893621213863785,0.35164519270042804
2003,0.593220756449966,0.46103109716790086,0.38969704281071144,0.529616626250833,0.4024494812871414,0.3346332379385245
2005,0.6171833815926652,0.4894270170620507,0.41974742944413146,0.5436274457320017,0.41843781086075615,0.35165131136443284
2007,0.6154613539608577,0.4828615782169922,0.4106963245633768,0.543969936736197,0.416049092517852,0.3474814157843281
2009,0.6105685963990253,0.4798944459600125,0.4089282203271567,0.5599270178813198,0.4325360833008125,0.3637110571136062
2011,0.6102812627377158,0.4758656478602904,0.4027764334962489,0.5668721704683439,0.4383159544750183,0.3680131827730111
2013,0.6180674314207226,0.48450055002565307,0.4113443429037338,0.5696168430009093,0.44208484639904766,0.3724264745283031
2015,0.6140792759045619,0.47847118111424297,0.4038467289621274,0.5665583624677555,0.43486652315382146,0.36280052612686253
2017,0.61546963661477,0.4813400731587275,0.40761378882997307,0.5688295583260589,0.43960828603384494,0.36891890734529353
2019,0.624897101068841,0.4889442007639758,0.41416404565503306,0.5781400610019364,0.44924800393013026,0.3781235738776445
2021,0.6393537114200359,0.5048142192791284,0.43025490494366114,0.5860209435082758,0.45868941492237125,0.388089991971285
ALL,0.5655046996693448,0.4293847331844117,0.35757739992792004,0.49073743444274115,0.36630498057396454,0.30202021327659256
