year,C1_hh,C2_hh,C3_hh,C1_clan,C2_clan,C3_clan
1984,0.9020409950416736,0.8366396292796219,0.7884170914087777,0.8223155377270983,0.7296862038437593,0.6694182364944031
1989,0.9019998892003696,0.835733695850187,0.7866717215958718,0.8172519424029685,0.7198383775956819,0.6561150648277272
1994,0.8951284326571967,0.8229745729541351,0.7691596337994362,0.7973025068114734,0.6908302042505833,0.6214347668909939
1999,0.9049222095613699,0.839158957814391,0.7897617058858073,0.8222565987381766,0.727498590212241,0.6647263294993292
2001,0.8982116823667248,0.8266413393157863,0.7726073803558177,0.8046794821740262,0.7013208312900873,0.6334521853630278
2003,0.9060307081693525,0.840067658166411,0.790141325575395,0.8115783371421694,0.7116719298684532,0.646059941142782
2005,0.9066539901038417,0.8394240206729638,0.7876713413706186,0.8102003310615449,0.7076680467852496,0.6396753906195959
2007,0.915637263823751,0.8535828683198966,0.8051575145911918,0.8201238075989368,0.7211231011030983,0.655378873864709
2009,0.932378646492954,0.8821047943564707,0.8426005581167679,0.8547519488087472,0.770590012293571,0.7130350103539922
2011,0.9153317100211733,0.8517137711517159,0.8013315331338374,0.8283469076551152,0.72800669804245,0.6592263333907666
2013,0.9165490428213876,0.8535025651713526,0.8033721704012063,0.8311892007894562,0.7312591880066963,0.6621215813088557
2015,0.9218754414044108,0.8622144478995767,0.8143027772899207,0.8418169271921733,0.7461224808119863,0.6787754006681376
2017,0.9194643144897755,0.8583912834742775,0.8095816261200242,0.8314638764442367,0.7310985749168658,0.6611759438158313
2019,0.9189457996895823,0.8574365893503553,0.8082372216141545,0.8399369888136603,0.7423913730526988,0.6736395842602498
2021,0.917627320867967,0.8554765666174575,0.8059843071147196,0.8411924660796823,0.7439087245784282,0.6751939776294384
ALL,0.9115198297807687,0.8476708506929732,0.7983331938915698,0.8249604572959643,0.7268676224434567,0.6606285746753227
