year,C1_HH,C1_Clan,C2_HH,C2_Clan,C3_HH,C3_Clan
1984,0.031238577363006465,0.13645324139313458,0.8572465360540007,0.7440381070928402,0.011456911836626098,0.04283191706745771
1989,0.037407872853855086,0.1413769760194721,0.8559145789665169,0.7356217317453396,0.011475571784827951,0.043194268149772674
1994,0.04280598462490104,0.176167503894199,0.8461550281486365,0.7046203502762933,0.010958115845823284,0.05054222784925813
1999,0.04616211567001334,0.15747246364716552,0.8577793581908177,0.7382981413234138,0.010977184967891095,0.04439249901868463
2001,0.04911930406071435,0.1758878760072726,0.8473960565144261,0.7130757418621128,0.010905214591428134,0.04929429282673509
2003,0.030369563190969336,0.1665485313214943,0.8655593086259101,0.7253573036639951,0.006753694791451733,0.04653237538934768
2005,0.035444931656959985,0.1720544975515405,0.8631565761123721,0.7195211462091642,0.006692537255988999,0.04722724287271675
2007,0.003474525683278344,0.15185149690397612,0.8827909053850159,0.7360193006939802,0.0013712032244066763,0.0426671370945657
2009,-0.014952726860040632,0.1058715033729218,0.9151405246186406,0.7918969092105427,-0.00388804209243991,0.02894288214777787
2011,-0.029927413145961448,0.11248181854489304,0.8981706442170381,0.7575923271077784,-0.008145770177463945,0.031207604039706474
2013,-0.034181053112895654,0.11900484649342305,0.902150014708115,0.7592245912889204,-0.0096551772175467,0.031041334393792558
2015,-0.042860764578040673,0.09358157721394408,0.911740049256571,0.7790111104893519,-0.011493568982799574,0.0247334688704897
2017,-0.07186849569922223,0.10356813757591737,0.9155136678800618,0.7634197288158018,-0.014915028802081646,0.028413452175629968
2019,-0.047448433927458594,0.10479637919867786,0.9070295053613939,0.7715923495269871,-0.010945853991253886,0.027020737417032138
2021,-0.02154427300500236,0.12354180191925708,0.8960291309281144,0.7644402796770087,-0.00585179742760194,0.030811096152787383
ALL,8.826476516717554e-4,0.13604391007048594,0.881451458997842,0.7469152745989021,3.796797071504243e-4,0.03792350236438363
