year,C1_HH,C1_Clan,C2_HH,C2_Clan,C3_HH,C3_Clan
1969,0.48140334134608637,0.5889256239260431,0.38358126508000945,0.2897901432665596,0.15848956874103598,0.19728625523613613
1970,0.49574461830467637,0.599624230585217,0.3698707441432726,0.28529726356480967,0.16368658596132213,0.20149510664173995
1971,0.48561080586557487,0.6114258182877724,0.3741028954624832,0.2732837522875122,0.16065137337593216,0.20552656294349608
1972,0.49164241081447724,0.6070504615017752,0.370464374690205,0.27878726337251225,0.1627354112956827,0.20423170858086798
1973,0.49442915575906343,0.6042228052398635,0.36690831833916304,0.2786858416415038,0.16403807955148464,0.20319243647406232
1974,0.4873446564154931,0.5949828531468154,0.37420718923201146,0.2877185970468925,0.16106171779886544,0.1994275959354015
1975,0.49031038632401375,0.5793600123617378,0.3743192018102981,0.30015836237992344,0.16262655568744785,0.1939329328174472
1976,0.48775674395859825,0.5775917485206631,0.37487554287249236,0.30392895264655884,0.16142349498125327,0.19301189682928035
1977,0.482759170187575,0.5655576517787925,0.38035513753016925,0.3115716886745238,0.15968314585446292,0.18912867656898522
1978,0.4850923552999228,0.567450274305291,0.3743209472434389,0.30937977260489924,0.16059912494614068,0.18976558316490819
1979,0.48278534629140324,0.5614667126215831,0.3778228456659982,0.3152072502484743,0.1594490672786174,0.18695088298220214
1980,0.4770929425281037,0.5595785441595759,0.38553674955098305,0.3192467513574302,0.15726798443520734,0.1861808954183834
1981,0.4564369469080052,0.5469945980402486,0.40960360705899157,0.33193781542354506,0.15030384673420044,0.18247471611406263
1982,0.4628208887914675,0.5453361570817784,0.39854506172187953,0.331443005982774,0.15270219974516785,0.1819390582297369
1983,0.46156669644249043,0.5369365043813297,0.3986099215762642,0.3374948732717177,0.15223250032475527,0.1787418199507774
1984,0.4530816320144663,0.5248089796043778,0.40539173527862926,0.3488101989299467,0.1490574433884378,0.1737987617579892
1985,0.451113588020232,0.5202496421552384,0.407760300297484,0.3533809758505987,0.14859547849434818,0.17222313545193757
1986,0.4425054459700597,0.5149925980273288,0.41715571928494455,0.358321854860399,0.145628133189684,0.17048611496219657
1987,0.440274485636005,0.5093427897356256,0.4213421598697378,0.36280725122397917,0.14474057018121542,0.16852262828401404
1988,0.43107227084889743,0.5031361567731675,0.4325578780713344,0.37214434110532746,0.14171738313333734,0.16642472496649544
1989,0.4277899877246614,0.49445132441419254,0.4370984243436863,0.38006511437989576,0.1403359099557835,0.16328778053983012
1990,0.4248628620200938,0.49124750108679005,0.43852065444506905,0.3824755221036902,0.13929047636833164,0.16204758758032695
1991,0.42976754902476055,0.4945710090904922,0.4323937015120225,0.37865697483358374,0.14066598261119137,0.1630012390047661
1992,0.4220711696993834,0.4909864132492442,0.4409885299332459,0.38437810725971155,0.13812903646853789,0.1617565571562329
1993,0.4126695245715204,0.486125841106455,0.44759989514325493,0.3863379233067884,0.1344295227600471,0.1596779015372036
1994,0.37673551313751374,0.45208701274753,0.4744074798499971,0.41043402725109057,0.12583819387547235,0.1516108210014917
1995,0.39305036459439946,0.4691512006316453,0.4692747682721097,0.4043725099690173,0.12862462991908702,0.15386484001743606
1996,0.4055168011112098,0.47467782339399855,0.4569155039839836,0.3986897324692614,0.13264359897333983,0.1558601796901686
1997,0.41717697521770786,0.4827282503726329,0.44848178117010085,0.3914313575198888,0.13643868359505731,0.15859268663116624
1999,0.40300504551218286,0.4654069749654248,0.4617968012396729,0.40490013139241876,0.13256701374746493,0.15297527785590306
2001,0.39140197627948525,0.4553261156618951,0.47724545892590164,0.41939250411942264,0.12849263311346226,0.1486026346087406
2003,0.40288783333759975,0.45588640484802945,0.46171089082953076,0.4053264998967996,0.13169652178635025,0.15226887608873912
2005,0.3816918242019141,0.4563634699824565,0.4896210503259042,0.4184162358669027,0.12362377454241179,0.14932855897240022
2007,0.38345613918544047,0.45603337965978596,0.48306498998855174,0.4160559118121111,0.1241491950705759,0.14894112020734382
2009,0.3894269150652155,0.4400730124027825,0.47989528265599224,0.4325360792441557,0.12605718734649782,0.14327101048585192
2011,0.3892128241060661,0.43312581007570367,0.47593224168597925,0.43832279225966164,0.12594585214687712,0.14035876478897483
2013,0.379382734515594,0.4301305396167531,0.48498831881006776,0.44221996841576006,0.12277429912988522,0.13945996612765652
2015,0.38547501242098925,0.43345420916750854,0.4785447998880804,0.4348519308274976,0.12404967231957546,0.14033829899257125
2017,0.38184109506666364,0.4312211919673057,0.4818120973047374,0.4395553651225378,0.12345659031181715,0.13969071295678698
2019,0.3718742366753695,0.4218632515005571,0.48945505676918,0.44927787965068666,0.1201967513541775,0.13617193283739365
2021,0.34576220249427064,0.4137479259183883,0.5075070565514554,0.45837041011975466,0.11377307806935275,0.13347927694396863
ALL,0.43307079204118665,0.5084803127827755,0.42962405800995884,0.3664747056965981,0.1421919089893633,0.16827628091061153
