year,C1_all_hh,C2_all_hh,C3_all_hh,C1_ex_top_10_hh,C2_ex_top_10_hh,C3_ex_top_10_hh,C1_ex_bottom_10_hh,C2_ex_bottom_10_hh,C3_ex_bottom_10_hh,C1_all_clan,C2_all_clan,C3_all_clan,C1_ex_top_10_clan,C2_ex_top_10_clan,C3_ex_top_10_clan,C1_ex_bottom_10_clan,C2_ex_bottom_10_clan,C3_ex_bottom_10_clan
1984,0.09795900495832784,0.8366396292796195,0.022305060838362013,0.22104007104022907,0.6439341439149968,0.05775755292618914,0.09795900495832784,0.8366396292796195,0.022305060838362013,0.1776844622729018,0.7296862038437579,0.049925655872287575,0.32006013169002984,0.5275074443688199,0.09634728306454048,0.19075534633101632,0.717181286256479,0.054628528652158455
1989,0.09800011079963229,0.8357336958501869,0.022047420792312488,0.21213339359790123,0.6548957269310235,0.05415935988404206,0.09800011079963229,0.8357336958501869,0.022047420792312488,0.18274805759703236,0.7198383775956818,0.050904725375261195,0.31427846373180296,0.5314002765441627,0.09379863410693486,0.2001851756039729,0.7027511145751636,0.057261954230697514
1994,0.10487156734280266,0.822974572954132,0.023131827667168932,0.20458435509876569,0.663749558443697,0.05095289358250551,0.10487156734280266,0.822974572954132,0.023131827667168932,0.20269749318852695,0.6908302042505828,0.056792736737512894,0.31383917035178094,0.5346472263264219,0.09388780552262066,0.22329519844311166,0.6710251001743678,0.0642224873212467
1999,0.09507779043862818,0.8391589578143919,0.020682149598555636,0.19956398255206892,0.6720284601201654,0.04922576343985877,0.09507779043862818,0.8391589578143919,0.020682149598555636,0.1777434012618239,0.7274985902122411,0.04898529551871232,0.3063631002151995,0.5447310595208862,0.09071154663735122,0.19533779122175882,0.7102737354135208,0.05527341942220971
2001,0.1017883176332761,0.8266413393157844,0.021763554061036434,0.18890341199728763,0.6854220464044514,0.04487462918096728,0.1017883176332761,0.8266413393157844,0.021763554061036434,0.19532051782597318,0.7013208312900874,0.054313637908389785,0.3073367191984621,0.5429158754301653,0.09096323670685519,0.21378458263396394,0.6833645535078364,0.06094598212730549
2003,0.09396929183064605,0.840067658166411,0.02002653474398313,0.19174148889703682,0.6825587692600166,0.04640510709452613,0.09396929183064605,0.840067658166411,0.02002653474398313,0.18842166285782935,0.7116719298684522,0.052367719302502135,0.3079499392652763,0.5421559850694069,0.09156940650144021,0.2090256536338576,0.6916924889099056,0.059776880690288976
2005,0.0933460098961558,0.8394240206729633,0.01902351806299838,0.17969651275941667,0.699313420418034,0.041918161095760416,0.0933460098961558,0.8394240206729633,0.01902351806299838,0.18979966893845496,0.7076680467852494,0.05211524537987996,0.29909402582583905,0.5525453749118716,0.08799397580941419,0.2107035882463461,0.686989878557789,0.05964093652044113
2007,0.08436273617624553,0.8535828683198973,0.016522120303898897,0.16805722903881748,0.7162369125861705,0.037882405362110905,0.08436273617624553,0.8535828683198973,0.016522120303898897,0.179876192401062,0.7211231011030971,0.04912917506351058,0.2930575220000284,0.557181282822594,0.08534543138741131,0.2002738193968609,0.7002782262882024,0.05663880005599373
2009,0.06762135350704837,0.8821047943564719,0.012962224818871793,0.16569670299431974,0.718883544420066,0.036841776719823124,0.06762135350704837,0.8821047943564719,0.012962224818871793,0.1452480511912518,0.7705900122935716,0.038099699643667544,0.2725283537907308,0.5814722148129448,0.07710534639176321,0.1631228368937506,0.7516007507965954,0.04459883843783373
2011,0.08466828997883014,0.8517137711517173,0.01584056497308676,0.15877539235938712,0.7299833223749984,0.03484064928395625,0.08466828997883014,0.8517137711517173,0.01584056497308676,0.1716530923448857,0.7280066980424503,0.04481055705987847,0.26895549492188386,0.5851198980993106,0.0756075370658202,0.19286772437181018,0.7051654021528171,0.05256561879410853
2013,0.08345095717860994,0.8535025651713543,0.015412195412919698,0.15729744898454975,0.7321846462006534,0.03439222371130421,0.08345095717860994,0.8535025651713543,0.015412195412919698,0.16881079921054495,0.731259188006696,0.0434882243643452,0.2645842377394312,0.5908224078852327,0.07381595629938821,0.189034013275306,0.7090835524829238,0.050857051655535085
2015,0.07812455859559309,0.8622144478995764,0.013987382404005837,0.15773248287638522,0.7316915908362638,0.03463039069562799,0.07812455859559309,0.8622144478995764,0.013987382404005837,0.1581830728078279,0.7461224808119855,0.03972746264106356,0.25393533922869915,0.6058396505045681,0.06998237972896616,0.17594472253128363,0.7263523920492666,0.046076988783054565
2017,0.08053568551022702,0.8583912834742792,0.014663112593229501,0.16038189099524233,0.7279407036622413,0.03558254467472637,0.08053568551022702,0.8583912834742792,0.014663112593229501,0.16853612355576275,0.7310985749168668,0.04301838302053268,0.26065095469195876,0.5963793227388136,0.07191288761432846,0.18774365571069399,0.7098111104424683,0.04997126330572824
2019,0.08105420031041788,0.8574365893503553,0.014721535692064159,0.16076918999222797,0.7274694428115442,0.03576950171199832,0.08105420031041788,0.8574365893503553,0.014721535692064159,0.16006301118634167,0.7423913730526985,0.04003467591785963,0.24650749324448618,0.6151580744897612,0.06715109440169977,0.18249332033049356,0.7172977480122583,0.048092678043597736
2021,0.08237267913203368,0.8554765666174584,0.015179613428499886,0.16118169345670147,0.7268905988130939,0.03592988020986329,0.08237267913203368,0.8554765666174584,0.015179613428499886,0.15880753392032057,0.7439087245784263,0.039553562526490636,0.2429385280571464,0.6197514990073678,0.06579107159648176,0.17871853070993704,0.7213648839458757,0.046725826347440616
ALL,0.08848017021923164,0.8476708506929733,0.017884587692732903,0.17917034977602248,0.7008788591464944,0.04207752263821732,0.08848017021923164,0.8476708506929733,0.017884587692732903,0.175039542704036,0.7268676224434563,0.04688445042212628,0.284805298263517,0.5685085061688219,0.0821322395223344,0.1942190639556109,0.7069488149043647,0.053818483625842684
ALL,0.08848017021923164,0.8476708506929733,0.017884587692732903,0.17917034977602248,0.7008788591464944,0.04207752263821732,0.08848017021923164,0.8476708506929733,0.017884587692732903,0.175039542704036,0.7268676224434563,0.04688445042212628,0.284805298263517,0.5685085061688219,0.0821322395223344,0.1942190639556109,0.7069488149043647,0.053818483625842684
