"year","inc_all_household","inc_all_mean_clan_mean_clan","inc_all_median_clan_median_clan","wealth_home_household","wealth_home_mean_clan_mean_clan","wealth_home_median_clan_median_clan","wealth_nohouse_household","wealth_nohouse_mean_clan_mean_clan","wealth_nohouse_median_clan_median_clan"
1969,0.402249720902791,0.317898052795555,0.319845111549866,NA,NA,NA,NA,NA,NA
1970,0.377992452319622,0.290298881017703,0.292494004816278,NA,NA,NA,NA,NA,NA
1971,0.385909974038588,0.295477706843766,0.300756543884513,NA,NA,NA,NA,NA,NA
1972,0.382424242185934,0.295105941177698,0.302175784062968,NA,NA,NA,NA,NA,NA
1973,0.376806718620347,0.285089470924435,0.294133413219364,NA,NA,NA,NA,NA,NA
1974,0.380108792411397,0.285597221986385,0.297014480022635,NA,NA,NA,NA,NA,NA
1975,0.379063641204617,0.29098415667478,0.298022294026432,NA,NA,NA,NA,NA,NA
1976,0.379847302359922,0.289278078591923,0.298450180494857,NA,NA,NA,NA,NA,NA
1977,0.392867542138667,0.302343046969171,0.312374829671086,NA,NA,NA,NA,NA,NA
1978,0.38628920732914,0.292068145149975,0.303138233899168,NA,NA,NA,NA,NA,NA
1979,0.385385898170175,0.289552713013794,0.303009738296195,NA,NA,NA,NA,NA,NA
1980,0.389078130288914,0.287757020293418,0.299805944842509,NA,NA,NA,NA,NA,NA
1981,0.405401770489826,0.302084751720858,0.30803852053583,NA,NA,NA,NA,NA,NA
1982,0.40646569556903,0.303519999869455,0.317739178230242,NA,NA,NA,NA,NA,NA
1983,0.412416558353185,0.308876668266106,0.324174055304642,NA,NA,NA,NA,NA,NA
1984,0.419454165276755,0.316275808760091,0.327442417894122,0.754303757252686,0.573899174318872,0.676372098929286,0.89650974547139,0.781941646882236,0.764070842870792
1985,0.421479404159891,0.316009763037913,0.324945575248536,NA,NA,NA,NA,NA,NA
1986,0.423575476231449,0.319598033623139,0.328293396114299,NA,NA,NA,NA,NA,NA
1987,0.427100320984799,0.324516354578587,0.336731345117073,NA,NA,NA,NA,NA,NA
1988,0.434644790432807,0.333685940845026,0.341442305838793,NA,NA,NA,NA,NA,NA
1989,0.434423398199032,0.333303554164022,0.339330377203155,0.794735051208416,0.62796577458904,0.709906081286852,0.880890809081123,0.775487807681169,0.794412943337086
1990,0.441013435870171,0.336832691045142,0.342900350240499,NA,NA,NA,NA,NA,NA
1991,0.438869454932357,0.333810230638887,0.342133656747228,NA,NA,NA,NA,NA,NA
1992,0.447139265911943,0.335717362931779,0.340957337933088,NA,NA,NA,NA,NA,NA
1993,0.458657501371787,0.339307004280363,0.35513092352072,NA,NA,NA,NA,NA,NA
1994,0.481205597068519,0.358719361738753,0.362962179190378,0.782394073882143,0.597808169909852,0.676196148043992,0.879546241281516,0.745034396584265,0.779855422937737
1995,0.471065469548468,0.348835651847662,0.351425556400303,NA,NA,NA,NA,NA,NA
1996,0.462257147441051,0.343622361557362,0.348584293183763,NA,NA,NA,NA,NA,NA
1997,0.449321298059998,0.335979511531066,0.341416858552218,NA,NA,NA,NA,NA,NA
1999,0.453797919378447,0.344689736501465,0.345599304284066,0.752838610030537,0.569942213072306,0.653214285858505,0.886083313505784,0.756579342456081,0.76397883257468
2001,0.469721456972565,0.357084925318601,0.355025152132785,0.745657377362441,0.572673441939904,0.663995822289277,0.885937916229257,0.756579814386227,0.78965937207279
2003,0.459927892220676,0.344699212968942,0.344473892777461,0.746305294717368,0.591874573751298,0.682918005382394,0.900222863767035,0.757889655195233,0.77274353956183
2005,0.472242604336042,0.351470077712484,0.352362775769365,0.757718166294058,0.595961919175367,0.684582946098019,0.902567258063212,0.755539142263924,0.803976569231966
2007,0.472937736389292,0.352783009921669,0.356282983700271,0.765188550092478,0.594383335524379,0.691014281311658,0.921809799689087,0.772831880503339,0.818605680127292
2009,0.472604845832246,0.35646483572668,0.359552586730777,0.830089816201177,0.636436430545146,0.73911601954244,0.962251434961959,0.82222059357699,0.837551762746988
2011,0.478208021152769,0.352314393765882,0.353974137064214,0.863226995828748,0.651841130188438,0.768821547785656,0.964029864302999,0.791927193406681,0.841166762552553
2013,0.484970484095214,0.362006175657823,0.361389120154332,0.84615672913892,0.644958857583584,0.765459825690326,0.981519812839294,0.804548611016362,0.858576499904022
2015,0.476209643541612,0.347633242691119,0.360432648595025,0.803765733835143,0.622235413130127,0.733592243390489,0.995312603108322,0.821120159312972,0.869698936503283
2017,0.471310545136783,0.345201937509417,0.355819101365868,0.78952990232001,0.597809968568249,0.720175703293759,0.988266568062028,0.814743718661876,0.870766229840991
2019,0.478214872675533,0.341526919170276,0.353080865969705,0.781834501591575,0.59089710550669,0.703673373094983,0.9869145290242,0.811873783503237,0.858393607484131
2021,0.497443371553943,0.352715671664924,0.363863679540926,0.752227869060726,0.560068402675362,0.672373391150298,0.959637330690007,0.796406742216424,0.848062887970764
