Table,Unit,N,black_pct_w,black_pct,unique_clans,mean_val_w,sd_val_w,mean_val,sd_val,median_val_w,median_val
Income,Household,242200,NaN,-Inf,2906,107533.6,206225.7,87990.5,164687.1,54079.6,42356.9
Income,Clan,64292,12.7,34.3,2906,415686.8,705584.5,331483,597658.9,180902.4,129329.4
Wealth,Household,122069,NaN,-Inf,2636,547123.8,2871991.1,340718.1,2141393.4,39237.3,18528.3
Wealth,Clan,26655,12.6,31.8,2636,2121186.4,6417051,1559979,5372883.2,448366.2,271314.7
