year,hh_children,hh_other,hh_age_mean,ppl_age_mean,clan_age_mean,numclan,num_clan_people,clan_children_hh_mean,clan_other_hh_mean
1984,1.1324599708879184,0.1180858806404658,29.683208140618063,26.10657509856289,28.87491144045537,3.175621028307337,9.086655112651632,1.1045145688126643,0.12445141353287012
1989,1.093104018521581,0.11476765338184224,31.8250331697042,27.559154929577463,30.39374942634715,3.373117679866146,9.5064138315672,1.0485490713042283,0.12058745771796492
1994,1.079415908799795,0.12693736390418855,33.888708379703644,28.999723667848755,32.059109496486784,3.979612640163099,11.069317023445475,1.0147594404722493,0.12357035158348399
1999,1.0472939217318902,0.11690258118234804,34.672026822284835,29.748040988547316,32.68820847422679,3.984737889847379,11.014598540145972,1.0157879600178275,0.11659268775081358
2001,1.0243305279265493,0.1153787299158378,35.13748141597414,30.2369909819078,33.119211745184806,4.189102564102564,11.444871794871789,0.9952366256315853,0.1135463530938638
2003,0.9711401762866079,0.1306511231162923,35.611949894164816,30.75188368884644,33.69685265854506,4.380448318804484,11.740348692403497,0.9444206810115783,0.13368721529782168
2005,0.9637710992177851,0.12501715383559764,35.83127002642215,30.930908717316484,34.0119306778763,4.47329650092081,11.954573357888263,0.9362056396177619,0.12702121421117707
2007,0.9532209591010061,0.12295831699986934,36.10579252041407,31.02428810720268,34.35108145143153,4.672161172161172,12.393162393162415,0.9261415029665642,0.12095825645655697
2009,0.942572552877521,0.12838170191834727,36.49423427142622,31.252803738317755,34.70496384181523,4.83184789067142,12.715389185977413,0.9107125894604814,0.1271268522278986
2011,0.9249463902787706,0.12925899451989517,36.66642813907813,31.359794429403937,34.91713381049486,5.014336917562724,13.0215053763441,0.8961466727604254,0.13402899747219432
2013,0.9152009318578916,0.13989516598718696,37.021333046038784,31.62866903402706,35.13217132833287,5.107079119571684,13.23616894705529,0.8748687018412978,0.14344423173309423
2015,0.8992680376437783,0.136981526664343,37.467430072606184,32.047670934350315,35.83008626246311,5.17870036101083,13.253910950661865,0.8583840488290927,0.1350813450712073
2017,0.9037844036697248,0.12626146788990825,38.04283101518781,32.490289958833,36.37617921969892,5.352977286678944,13.720687538367084,0.855104256522557,0.11910332469304247
2019,0.9077885162023878,0.12109152927799886,38.463644013746446,32.82533880171184,36.54167294399096,5.307785153892577,13.54556427278215,0.8597744332278058,0.11829272987886531
2021,0.8828106578637114,0.11518509785427965,39.25930873077773,33.67082317644853,37.1937546893382,5.194121249234538,13.06429883649723,0.8408768466274616,0.12063758293209512
2023,0.9022379269729093,0.11460541813898704,NA,NA,NA,5.273291925465839,13.31242236024844,0.8644082293306707,0.11763485021030311
