year,hh_children,hh_other,hh_age_mean,ppl_age_mean,clan_age_mean,numclan,num_clan_people,clan_children_hh_mean,clan_other_hh_mean
1969,1.82653518601524,0.22949350067234425,33.091241202446724,25.816103801612805,33.39456970285964,1.0501294422216991,3.8827959519886766,1.8455911194790637,0.22793598493763395
1970,1.7351107288755105,0.21715760051601807,32.83647097996654,25.901865514966108,33.59827405127532,1.1269687424279138,4.03973830869881,1.787052742104842,0.21975203941523766
1971,1.6574494428394553,0.21584812216260835,32.778056937492316,26.19287483779639,34.018138598143366,1.198318496538081,4.192631058358049,1.7235863831190212,0.2198318496538034
1972,1.5866561389656533,0.21476510067114093,32.658044292399566,26.36129515469263,34.35193850766876,1.2725445867872394,4.360713388595858,1.6653772084065666,0.21823662396382545
1973,1.4985824985824985,0.1854091854091854,32.64343236986201,26.664761033615367,34.81484698823015,1.3552766393442623,4.481301229508166,1.5804772882513725,0.18679559426229692
1974,1.4177834118073163,0.17602318000724376,32.52971851268621,26.789556962025316,35.11306379341196,1.4432828018818609,4.626764244641944,1.5118786249470866,0.178554626241508
1975,1.3544502617801046,0.1649214659685864,32.503755066680625,26.985127201565557,35.42151045043852,1.522316684378321,4.753453772582358,1.4392553514498376,0.1667685086787109
1976,1.3174224343675418,0.15513126491646778,32.57637683233904,27.10789371498308,35.796336919737655,1.599672757022089,4.916825743114265,1.395261145090712,0.15948387808900416
1977,1.2734985859258028,0.16769256363333887,32.618878417743026,27.22530034560316,36.16730056776809,1.6743732590529248,5.077715877437301,1.3340718265021987,0.16535482159437484
1978,1.2368506493506493,0.16071428571428573,32.70131366469011,27.405756177029595,36.37937861362036,1.747517730496454,5.225815602836848,1.2896774738264096,0.15684903748733603
1979,1.1792378861533637,0.1486592441586953,32.82415083087414,27.639582997474342,36.82693435713726,1.8414669361825007,5.373953219751641,1.217231939459771,0.1484430647800572
1980,1.1534342970781704,0.15389322319106624,32.93722314539761,27.734668004859753,37.08613427980376,1.9317375886524824,5.594858156028392,1.1602000778640806,0.15628834571653666
1981,1.1298505209119734,0.15431073531632192,33.09479382579929,27.956636421185905,37.31672467180989,1.988888888888889,5.693393393393418,1.1215609548942935,0.16365582032248727
1982,1.112824314306894,0.15952557449962934,33.33204176722699,28.188301532686893,37.61070626176576,2.0532724505327247,5.839878234398744,1.0943261820202412,0.16596482327076
1983,1.1097009482129832,0.13041575492341356,33.46992237157454,28.31180859274505,37.83745757788328,2.125581395348837,6.026666666666687,1.0679669228273845,0.14070702596284002
1984,1.1023121387283237,0.12369942196531791,33.68205182542239,28.479887266205484,38.00471096845755,2.1940393151553583,6.188015218769825,1.051336309009101,0.1339332266408968
1985,1.0821723059425647,0.13150412283195906,33.78902372151579,28.62858736436467,37.99236897704255,2.283766233766234,6.4038961038960664,1.0212791177076923,0.1424683055040176
1986,1.0642450142450142,0.12806267806267807,34.116576633243305,28.879940686199316,38.23126639055775,2.325273269294468,6.478635309705219,0.9919662244935501,0.1406582385631723
1987,1.0590317100792752,0.11919592298980747,34.34670683027496,29.00658633717962,38.340834358439714,2.388100067613252,6.621703853955395,0.9781389184026116,0.13327537911716295
1988,1.0473514121118448,0.12069692286075594,34.625127157279195,29.25854951327659,38.493532115139125,2.4490708878183067,6.753613214039934,0.9594547753615222,0.13689932457998485
1989,1.044822256568779,0.11858929324153436,34.96921218447142,29.49714373151076,38.73738653428471,2.486722571628232,6.851851851851818,0.9455096033712371,0.12795713196656475
1990,1.0115945982812713,0.11771927431455463,35.99299463249116,30.184255533199195,39.76100319135293,2.570476858345021,6.971248246844285,0.8982886367178093,0.12998920784685286
1991,1.0027107617240445,0.11534291135809162,36.353235653611655,30.397676991150444,39.86590055186688,2.635941407645588,7.106466595212546,0.8807339092172948,0.12939746827742288
1992,0.9918032786885246,0.1159439450026441,36.62351522344582,30.642589303335306,40.10916811755282,2.7346348517715113,7.330079537237874,0.858624397615722,0.1295164263710926
1993,1.0165058405281868,0.13433214829862875,36.295575609354806,30.406842326952777,40.014716054611824,2.911645101663586,7.900554528650626,0.8713081701621458,0.13541787130511568
1994,1.0251673978296005,0.12826137150773492,36.27238053673932,30.482193762498405,39.941354185959774,3.0759943181818183,8.347301136363594,0.8678828203858481,0.12835405888025495
1995,1.0172675300431688,0.12227278030568195,36.4176242566338,30.66647940884145,39.78991993010147,3.118995633187773,8.422125181950474,0.8641992341541233,0.12096127221191419
1996,1.013272257458304,0.11992013154803853,36.159742446757846,30.617188859878155,39.43373823509937,3.181614349775785,8.590059790732395,0.8694795391511737,0.12184426789763568
1997,1.09484291641968,0.13737403675163012,35.43378314327104,29.891201761744966,36.74073157544836,2.627725856697819,7.431074766355145,1.0945856527685969,0.18188761856755867
