year,hh_children,hh_other,hh_age_mean,ppl_age_mean,clan_age_mean,numclan,num_clan_people,clan_children_hh_mean,clan_other_hh_mean
1969,1.4490291262135921,0.25970873786407767,26.704140923801123,23.696637426900583,26.387572413697413,2.065,6.850000000000001,1.4445833333333327,0.25749999999999984
1970,1.3244897959183672,0.19489795918367347,26.544131214590404,23.81797310593637,26.230632542862235,2.1466083150984683,6.680525164113783,1.3198395331874566,0.19237782640408496
1971,1.3177441540577717,0.1953232462173315,26.344343731086195,23.685981724983286,26.13945537029606,2.228177641653905,6.874425727411944,1.3080908626850412,0.19448698315467053
1972,1.2945492662473794,0.20545073375262055,26.38370570302199,23.758731773482538,26.30888992123792,2.316747572815534,7.163834951456312,1.2886731391585735,0.21092233009708805
1973,1.2673141891891893,0.1858108108108108,26.523941187613037,23.937258153676066,26.51675631912377,2.4124236252545823,7.374745417515278,1.2649524779361812,0.19271894093686343
1974,1.2031858407079645,0.17345132743362832,26.734959991827285,24.193264310365347,26.788264091552193,2.5008849557522126,7.443362831858416,1.1986262115465685,0.1788938053097349
1975,1.193538365952159,0.16216216216216217,26.897314045158826,24.25592167596589,26.877793233443125,2.5677830940988837,7.581339712918674,1.1956596035543412,0.16404837852206355
1976,1.1908807703200226,0.15066553384310394,27.141963943259555,24.37148633038121,27.03484659896887,2.650900900900901,7.801051051051044,1.1962632275132308,0.15527581152581155
1977,1.1845066736456424,0.17482334467416907,27.322128740723397,24.533209186840473,27.262230397957428,2.728051391862955,8.052819414703789,1.1872361578464379,0.18103055640528815
1978,1.16796875,0.16845703125,27.655835674335474,24.733061088424034,27.43223006880822,2.802325581395349,8.214090287277694,1.1724439775910365,0.1729773304670709
1979,1.1310515649628463,0.1495158748029723,27.950451136968862,24.968899334116724,27.729461603115297,2.907068062827225,8.357329842931941,1.1264883549405789,0.15056173647469479
1980,1.1392218717139853,0.1526813880126183,28.2668470789054,25.100670163170165,27.84136529107041,2.9669369931378666,8.568309419837814,1.1267105823406525,0.15525874105100468
1981,1.1270841805612037,0.14741764945099634,28.59838914305165,25.366025140259925,28.13896153406237,3.0252152521525217,8.66482164821647,1.1050418079938362,0.15312046843412042
1982,1.11903831118061,0.1546129788897576,29.015673727714276,25.66903963310288,28.485657900386528,3.088111044055522,8.819553409776693,1.0958729679761678,0.15763092603768614
1983,1.134795650543682,0.12373453318335208,29.253039781428477,25.818199634178207,28.537241657284476,3.129032258064516,8.98123167155424,1.1097908071075222,0.12948982916724852
1984,1.1324599708879184,0.1180858806404658,29.683208140618063,26.10657509856289,28.87491144045537,3.175621028307337,9.086655112651632,1.1045145688126643,0.12445141353287012
1985,1.1154047910473859,0.12851897184822522,30.096841147719864,26.372130141190915,29.176012523192384,3.2389580973952437,9.226500566251433,1.0829783026838522,0.14088470042603726
1986,1.1049072307959078,0.12242066932547252,30.521600545573165,26.630240801857962,29.42636990042229,3.264289756649689,9.262026032823993,1.0728613648817407,0.1310963340250276
1987,1.1020720108695652,0.11141304347826086,30.93511138902617,26.865985576923077,29.720688077278997,3.302860347728547,9.33426808749298,1.0663684355776348,0.1167855139812523
1988,1.0912572855953373,0.11240632805995004,31.395648900086947,27.23739558030689,30.097518659198244,3.3459610027855153,9.406685236768809,1.0513512964905745,0.11912503466821069
1989,1.093104018521581,0.11476765338184224,31.8250331697042,27.559154929577463,30.39374942634715,3.373117679866146,9.5064138315672,1.0485490713042283,0.12058745771796492
1990,1.0631628937786923,0.11255342725977521,32.95001001100814,28.29073609845032,31.39719994044755,3.435562805872757,9.546492659053845,1.0124628558560054,0.11893921738946323
1991,1.054534122779682,0.10860081022125273,33.52502287755882,28.611801242236027,31.845967293749684,3.4885869565217393,9.62771739130433,0.9973772890756584,0.11314321397201905
1992,1.0456319423596518,0.11062743920744521,33.922769927044186,28.93250997322258,32.15801472604886,3.5726541554959788,9.815549597855219,0.9860348974826169,0.11702007256966955
1993,1.0676541803161943,0.13160518444666003,33.75289555472932,28.848720971958784,32.10099033938477,3.7936250675310643,10.541329011345244,0.9977788224141558,0.12550261581866146
1994,1.079415908799795,0.12693736390418855,33.888708379703644,28.999723667848755,32.059109496486784,3.979612640163099,11.069317023445475,1.0147594404722493,0.12357035158348399
1995,1.0674475479469687,0.12035010940919037,34.199061946905864,29.266082416557897,32.33063930653496,3.99075500770416,11.021058038007219,1.000934512303813,0.11320060402585526
1996,1.0577617328519855,0.11616812790097988,34.089263249500426,29.312365238586295,32.363885055699704,4.042209484106305,11.122459614382501,0.9920412958668773,0.10789747831895692
1997,1.083111347895578,0.11010477712662049,34.00455034911606,29.195516891033783,32.20031223351523,3.8807718814610612,10.859407305306675,1.048860066374759,0.11032901756132488
1999,1.0472939217318902,0.11690258118234804,34.672026822284835,29.748040988547316,32.68820847422679,3.984737889847379,11.014598540145972,1.0157879600178275,0.11659268775081358
2001,1.0243305279265493,0.1153787299158378,35.13748141597414,30.2369909819078,33.119211745184806,4.189102564102564,11.444871794871789,0.9952366256315853,0.1135463530938638
2003,0.9711401762866079,0.1306511231162923,35.611949894164816,30.75188368884644,33.69685265854506,4.380448318804484,11.740348692403497,0.9444206810115783,0.13368721529782168
2005,0.9637710992177851,0.12501715383559764,35.83127002642215,30.930908717316484,34.0119306778763,4.47329650092081,11.954573357888263,0.9362056396177619,0.12702121421117707
2007,0.9532209591010061,0.12295831699986934,36.10579252041407,31.02428810720268,34.35108145143153,4.672161172161172,12.393162393162415,0.9261415029665642,0.12095825645655697
2009,0.942572552877521,0.12838170191834727,36.49423427142622,31.252803738317755,34.70496384181523,4.83184789067142,12.715389185977413,0.9107125894604814,0.1271268522278986
2011,0.9249463902787706,0.12925899451989517,36.66642813907813,31.359794429403937,34.91713381049486,5.014336917562724,13.0215053763441,0.8961466727604254,0.13402899747219432
2013,0.9152009318578916,0.13989516598718696,37.021333046038784,31.62866903402706,35.13217132833287,5.107079119571684,13.23616894705529,0.8748687018412978,0.14344423173309423
2015,0.8992680376437783,0.136981526664343,37.467430072606184,32.047670934350315,35.83008626246311,5.17870036101083,13.253910950661865,0.8583840488290927,0.1350813450712073
2017,0.9037844036697248,0.12626146788990825,38.04283101518781,32.490289958833,36.37617921969892,5.352977286678944,13.720687538367084,0.855104256522557,0.11910332469304247
2019,0.9077885162023878,0.12109152927799886,38.463644013746446,32.82533880171184,36.54167294399096,5.307785153892577,13.54556427278215,0.8597744332278058,0.11829272987886531
2021,0.8828106578637114,0.11518509785427965,39.25930873077773,33.67082317644853,37.1937546893382,5.194121249234538,13.06429883649723,0.8408768466274616,0.12063758293209512
2023,0.9022379269729093,0.11460541813898704,NA,NA,NA,5.273291925465839,13.31242236024844,0.8644082293306707,0.11763485021030311
