"year","hh_u_black_mean","hh_u_nonblack_mean","hh_u_mean_ratio","hh_u_black_median","hh_u_nonblack_median","hh_u_median_ratio","hh_w_black_mean","hh_w_nonblack_mean","hh_w_mean_ratio","hh_w_black_median","hh_w_nonblack_median","hh_w_median_ratio","r_hh_u_black_mean","r_hh_u_nonblack_mean","r_hh_u_mean_ratio","r_hh_u_black_median","r_hh_u_nonblack_median","r_hh_u_median_ratio","r_hh_w_black_mean","r_hh_w_nonblack_mean","r_hh_w_mean_ratio","r_hh_w_black_median","r_hh_w_nonblack_median","r_hh_w_median_ratio","cl_u_black_mean","cl_u_nonblack_mean","cl_u_mean_ratio","cl_u_black_median","cl_u_nonblack_median","cl_u_median_ratio","cl_w_black_mean","cl_w_nonblack_mean","cl_w_mean_ratio","cl_w_black_median","cl_w_nonblack_median","cl_w_median_ratio","r_cl_u_black_mean","r_cl_u_nonblack_mean","r_cl_u_mean_ratio","r_cl_u_black_median","r_cl_u_nonblack_median","r_cl_u_median_ratio","r_cl_w_black_mean","r_cl_w_nonblack_mean","r_cl_w_mean_ratio","r_cl_w_black_median","r_cl_w_nonblack_median","r_cl_w_median_ratio","neg_r_hh_w_black_mean","neg_r_hh_w_nonblack_mean","neg_r_hh_w_mean_ratio","neg_r_hh_w_black_median","neg_r_hh_w_nonblack_median","neg_r_hh_w_median_ratio","neg_r_cl_w_black_mean","neg_r_cl_w_nonblack_mean","neg_r_cl_w_mean_ratio","neg_r_cl_w_black_median","neg_r_cl_w_nonblack_median","neg_r_cl_w_median_ratio"
1997,18176.5612384744,36518.3914965051,0.497737181009573,13253.0803816667,27047,0.490001862745098,20875.844136913,38570.3533502264,0.541240676416838,14955.4,28691.69625,0.521244888057115,18232.6393282847,38439.044352106,0.474326030618026,13197.74275,28691.0333333333,0.459995378927911,20976.620217882,40828.7735862988,0.513770519546571,15114.5,30971.4666666667,0.488013698630137,48264.9159990726,78502.0660194459,0.614823512888398,41366,66424.25,0.622754491017964,45984.3610532751,76891.3948509687,0.598043007834651,41030.299,64130.8235,0.639790614882717,47196.7789105383,91833.9950503258,0.513935813036055,42556.068,78322.94125,0.543341035472158,45772.3096079318,92305.1564925668,0.495880309911156,42126.498,77532.0816666667,0.543342795581244,20974.7514980353,40828.568199373,0.513727334145344,15114.5,30971.4666666667,0.488013698630137,45770.3633433591,92302.4422846888,0.495873805832671,42126.498,77291.5755,0.545033501096119
1999,21695.6233051334,43931.2329912481,0.493854185914963,15882.3333333333,31854.07325,0.498596622437707,25976.8863461497,47006.0978498832,0.552628010712748,18155.15,33716.8245,0.538459664254562,21967.8520289377,45356.0397670838,0.484342375166546,15882.3333333333,33188.6,0.478547854785478,26879.5588141443,48752.9744142967,0.55134192604794,18493.608,35735.25,0.51751724137931,55881.8959443085,95541.4645639966,0.584896790093448,48546.5425,78985.17125,0.614628565485322,52402.5901778887,94837.6114736104,0.552550716573775,46989.8,78042.5,0.602105263157895,56186.2094681844,106907.98250292,0.52555672787717,50346.449,90061.1819166667,0.559024964235817,55313.6864728867,109794.146650415,0.50379449324385,50099.999,90783.965,0.551859560220795,26879.0716164124,48730.5273138557,0.551585896932615,18493.608,35735.25,0.51751724137931,55312.2039649597,109718.653218736,0.504127624084929,50099.999,90783.965,0.551859560220795
2001,27019.764437285,52193.5848947813,0.517683628970016,19485.128,36858.55,0.528646080760095,31654.0008503302,55692.4186800068,0.568371810752291,23113.2,39397.5,0.586666666666667,27075.8229539369,53250.7460112768,0.508459035450942,19693.93475,38522,0.511238636363637,32402.9208111904,57076.6156091749,0.567709217958287,23930.3333333333,40856.6666666666,0.585714285714286,68921.5115324099,117319.396806611,0.587469023950235,59472.058375,91332.5491111111,0.65115951491345,66327.7131133449,115749.173591591,0.573029690452697,57712.96,90176.5,0.64,68617.6963407483,126810.162498699,0.541105657375468,60689.66,103080.786333333,0.588758217304894,70432.1373563285,130125.968085025,0.541261197844137,61270.992,104534.7,0.586130653266332,32393.9089835842,57034.9256831595,0.56796618204675,23930.3333333333,40856.6666666666,0.585714285714286,70412.384254384,130025.048301396,0.541529383562846,61270.992,104172.826666667,0.588166741371582
2003,28353.2842735104,53936.5397772692,0.525678591741243,21073.11175,38611.25,0.545776470588235,33016.0568172915,56942.2980258973,0.579816023622296,23984.4,40882.5,0.586666666666667,28553.795108674,54385.4766775508,0.525026107208148,21314.6213333333,39974,0.533212121212121,33891.3362990069,57750.5246458619,0.586857634745926,24565.84,42010.857,0.584749794559059,70563.8696876846,123560.185855453,0.571089054286741,62731.47075,97572.9,0.642918994413408,67939.6354570076,121533.516630446,0.559019744846152,59961,95010.93,0.631095811818703,70826.9079661841,129342.266714398,0.547592908067536,64587.82015625,107904.5437,0.598564415747119,73737.315218362,131907.35843127,0.559008353251063,65789.936,108963.673,0.603778618953126,33879.5671214923,57734.951292875,0.586812084583387,24565.84,42010.857,0.584749794559059,73707.3937078475,131501.421220697,0.56050644185925,65789.936,108963.673,0.603778618953126
2005,32010.8574430018,62668.516862586,0.510796473980586,22884,43225.3333333333,0.529411764705882,37386.4244937867,67772.3135339731,0.551647458147426,25744.5,45577.3,0.564853556485356,32204.5831114716,63457.8855929577,0.507495369732987,22884,44300.8813333333,0.516558572002525,38081.6603372545,69206.0155797311,0.55026517591352,25887.525,46670.011,0.554692926899031,79554.1946945905,140552.80516153,0.566009298805262,71080.2466666667,110884.422,0.641030050791686,76684.434451244,138113.0728955,0.555229369990672,64746.464,108523.556,0.596612075630843,79549.5386078348,147374.584758359,0.539777864265181,71938.7145,122726.006607143,0.586173350610864,81005.8255292962,150074.14430148,0.539772030061125,70691.2186666666,123935.93,0.570385187464738,38081.6603372545,69196.6684043534,0.550339506444485,25887.525,46670.011,0.554692926899031,81005.8255292962,150066.003006692,0.539801313463944,70691.2186666666,123935.93,0.570385187464738
2007,36000.3412523591,69839.7836799079,0.515470400328803,25302,49693.128,0.509164969450102,43007.3787987578,74622.7323234702,0.576330797059694,29957.568,52443.96144,0.571230074491489,35747.3392752288,70546.7100737742,0.506718729163217,25136.01888,50604,0.49672,42726.8223342175,75890.6982124669,0.56300473365784,29856.36,53449.96896,0.558585170037113,92093.2761740477,158809.88699483,0.579896364872081,75526.6627771428,129930.8304,0.581283614863612,91266.4777194844,157649.600581613,0.578919815735511,72813.08352,128111.515392,0.568357054377228,88228.1614741519,166508.029687627,0.529873313855614,75727.1992,138848.469696,0.545394553975279,89587.5139993768,171203.47773524,0.523280923871888,74278.57536,140779.460502857,0.527623668216092,42726.8223342175,75874.4459205741,0.563125329164765,29856.36,53449.96896,0.558585170037113,89587.5139993768,171191.516222192,0.523317486615982,74278.57536,140775.065184,0.527640141831327
2009,41223.8401195755,77523.4934516014,0.531759319454713,29432.54241375,55512.661845,0.530195120095849,47164.6027123695,82305.4202063111,0.573043702275551,33212.09009,58883.55984,0.564029929240773,41157.0561014099,77899.7634901597,0.528333518067855,29264.4198,56304.8,0.51975,47136.0071364642,82902.4127197207,0.568572199410206,33149.451,59753.469,0.554770318021201,98191.0906838353,177502.644638501,0.553181001239784,84836.0843833333,143197.745648,0.592440083462433,93080.9091762364,176786.271551055,0.526516614438328,78967.482,141546.74815,0.557889764562564,96419.9687083866,182932.455774843,0.527079616900033,85830.9365757143,152177.09439,0.564020077527216,94816.6313074888,186368.707538537,0.508758324075852,82132.51557,154549.6379,0.531431303793433,47136.0071364642,82902.308799774,0.568572912128507,33149.451,59753.469,0.554770318021201,94816.6313074888,186368.671564953,0.508758422278303,82132.51557,154549.6379,0.531431303793433
2011,41979.731349401,78490.1007226784,0.534841094136495,28628.99,56226.235245,0.509174940759454,50516.9735154887,83916.0631593752,0.601994083296612,35455.903,61066.736785,0.58060909861339,41775.8383815227,78415.5523099501,0.532749399205874,28628.99,56440.95267,0.507237894572555,50401.9811877604,83813.4317542604,0.601359234824535,34685.1225,61662.44,0.5625,98046.5703248068,176924.973517985,0.554170326411496,82121.1567,142114.30636,0.577852848199343,97659.9772611217,174334.831287658,0.560186260770688,81111.571884375,138253.2466125,0.586688369870378,95797.0373438549,177006.712116503,0.541205676318097,84019.47896,149485.17017,0.562058957851471,99107.0091822625,178981.466414474,0.553727775102461,85577.4343388889,150322.458016,0.569292409586465,50358.2865013158,83813.4317542604,0.600837902079532,34685.1225,61662.44,0.5625,99087.8297975238,178981.466414474,0.55362061660654,85577.4343388889,150322.458016,0.569292409586465
2013,45765.2738235295,87197.1674313721,0.52484817077973,30927.3716,61311.4743,0.504430401537417,54350.6608018406,93972.0574478381,0.57837044625749,38288.6556,66073.4728,0.579486047538279,45651.4203395547,86626.1703244144,0.526993403593747,30811.464,61433.9065,0.501538413481812,54451.7186288374,94220.8222715105,0.577915977764736,38079.1008,66781.2,0.570206896551724,105506.153702981,203699.495640715,0.517949999685185,87912.8442,156810.54768,0.560630936506911,105844.28172591,197115.720468494,0.536965197267602,86952.5766,155072.8548,0.560720809016795,105750.656183577,198071.846586576,0.533900491190471,89734.6057285714,166598.3688,0.538628357377839,110397.98091324,203151.809319189,0.543426028462213,92089.1639,167004.813,0.551416227147897,54450.3999821995,94179.2742949393,0.578156928791767,38079.1008,66781.2,0.570206896551724,110397.335965228,203090.495701898,0.543586914708565,92089.1639,167004.813,0.551416227147897
2015,49543.9452366575,91034.1898756674,0.544234482718235,34354.929,66372.788,0.517605633802817,58407.8424194861,98236.5818723976,0.594563056920626,41698.00294,70503.559225,0.591431175934366,49371.599951778,90294.7610642871,0.546782552717836,34214.7048,66548.06825,0.514135206321335,58308.5797056426,97978.8139448102,0.595114161501147,40891.71379,70871.64775,0.576982687551525,111310.585361327,211999.444195192,0.525051307487587,94422.30214,171010.033598333,0.552144807840797,114590.483757684,206140.553550798,0.555885204458063,93179.915728,167967.198420769,0.554750669202555,111163.080990534,204449.55759685,0.543718862966355,95249.62492,180529.643087143,0.527612104534114,116949.004074033,208135.855413433,0.561887829666493,96287.284,180704.58947,0.532843600056906,58308.5797056426,97968.2887116736,0.59517809765207,40891.71379,70871.64775,0.576982687551525,116949.004074033,208133.161344675,0.561895102723978,96287.284,180704.58947,0.532843600056906
2017,57048.4423193141,96022.4381606905,0.594115744320566,40473.1666666667,69696.007195,0.580709976016678,65964.2121699737,106167.476219109,0.621322221447899,46625.088,76348.5816,0.610687022900763,56815.8633139556,98712.5820636206,0.575568606617316,40149.3813333333,72739.99406,0.551957445861432,64636.5480095657,105900.498880022,0.610351685715798,45168.054,76607.6098666667,0.58960270498732,126306.349144924,207365.227845922,0.609100910779375,105006.6190875,168822.178714583,0.62199540301531,130561.327112063,221351.006461851,0.589838416364124,104936.802875,178600.79933,0.587549458169606,124131.875385469,228050.837965017,0.544316681723884,104433.353475455,195820.20927125,0.533312439324347,129751.697474184,231431.506175586,0.56064837332797,104936.802875,196285.397730625,0.534613395027029,64636.4072489355,105861.263624089,0.610576570089488,45168.054,76607.6098666667,0.58960270498732,129751.634114883,231400.248502805,0.560723832210188,104936.802875,196285.397730625,0.534613395027029
2019,64640.5635736673,105391.534724447,0.613337340068861,46898.97984,75858.948864,0.618239252485301,72497.5345351741,113446.074662103,0.639048417947531,52020.48,81554.688,0.637860082304527,64593.3982088118,107993.660944471,0.598122127205455,46818.432,78030.72,0.6,72680.5013851249,116169.605810035,0.625641284381861,52205.0688,83064.96,0.628484848484848,143320.852413726,227269.211450976,0.630621506092749,119268.193536,188784,0.631770666666667,141973.084555269,223794.686118876,0.634389882161256,113268.386304,184905.621504,0.612574054713365,142116.268183915,245251.830667254,0.579470774172249,121744.704,207558.275136,0.586556734103848,148240.641154545,244372.938149896,0.606616437469912,123371.60256,206687.64528,0.596898776377603,72680.5013851249,116137.716906948,0.625813071935608,52205.0688,83064.96,0.628484848484848,148240.641154545,244299.859587495,0.606797897488979,123371.60256,206687.64528,0.596898776377603
2021,70877.60767288,116512.015349202,0.608328741550393,50223.744,83706.24,0.6,77389.5896660079,126418.622845187,0.61216921940986,55978.548,88937.88,0.629411764705882,70822.71161844,119261.452451516,0.593844114444539,50223.744,85696.87902,0.586062696498886,77549.1279663723,129381.871965667,0.59938171235419,55434.45744,90232.7109,0.614349905783447,150355.635097634,250632.048034011,0.599905863105069,122917.3818,209206.4170725,0.58754116398544,148557.125673298,248672.704295594,0.597400209621362,118450.05170625,204400.1748,0.579500735858715,148730.12685178,267715.031250552,0.5555538893615,126650.15694,231872.4973725,0.546206032949817,156717.977816742,268683.480094085,0.583281032990432,128228.80431,232016.69445,0.552670593872432,77507.6839208741,128892.968127362,0.601333688307083,55434.45744,90232.7109,0.614349905783447,156670.799404943,268440.835371184,0.583632513243777,128228.80431,232016.69445,0.552670593872432
2023,88617.9051348687,148707.949571709,0.595919084286318,63107.9170333333,106953.275,0.590051282051282,98282.5197966337,157301.456053261,0.624803623962363,70364.784,111201.489,0.632768361581921,88463.4342558147,150873.74568614,0.586340810016369,63167.0387238095,109632.591658333,0.57617025893785,99342.1604949929,160118.756284467,0.62042800481476,70777.6386,113684.6,0.622578947368421,191099.334662901,338239.064118147,0.564983039913304,158229.51715,271885.696,0.581970730633803,186274.20589945,333747.781744879,0.558128671074855,146779.590857692,263852.9815,0.55629309179397,188279.931606792,349024.411001804,0.53944631284205,162286.26235,291094.903083333,0.557502933342469,202845.44011587,350296.77505886,0.579067392446838,164852.24344,288472.87748,0.571465313758758,99341.5036476951,160032.250024232,0.620759275912531,70777.6386,113684.6,0.622578947368421,202844.337282218,350236.4070178,0.579164053815539,164852.24344,288472.87748,0.571465313758758
