"year","r_hh_sgini_wealth","r_hh_sgini_wealth_bc","r_cl_sgini_wealth_mean","r_cl_sgini_wealth_mean_bc","r_cl_sgini_wealth","r_cl_sgini_wealth_bc"
"ALL",0.933,0.933,0.784,0.785,0.784,0.784
"1984",0.896509745471396,0.896672954964476,0.781941646882208,0.78239363627347,0.79487981562635,0.795339283727867
"1989",0.880890809081111,0.881036603653955,0.775487807681168,0.775920557573849,0.766988919663971,0.767416926873604
"1994",0.87954624128158,0.879659438996046,0.745884537614287,0.746265090949805,0.734124699979486,0.734499253397844
"1999",0.886083313505752,0.886230895669897,0.756579342456118,0.757081719177537,0.766844768094694,0.767353961167798
"2001",0.885937916229235,0.886073505135912,0.756579814386221,0.757065112535283,0.749862105447,0.750343094610212
"2003",0.90022286376702,0.90035086360546,0.757889655195234,0.758361860587879,0.755650551460239,0.756121361772676
"2005",0.902553767114445,0.902677761312427,0.755410347626697,0.755874644091127,0.749875729458628,0.750336624190933
"2007",0.921900920814865,0.922021525330929,0.772821964774535,0.773294061271037,0.770583226889503,0.771053955800247
"2009",0.962251434961998,0.962369895067258,0.822220593576964,0.822709428650434,0.828922012041646,0.829414831311588
"2011",0.964029864302924,0.964144835067909,0.791927193406709,0.792400550964036,0.799080921859769,0.799558555405409
"2013",0.98151981283925,0.981634262444289,0.804548611016327,0.805027508999075,0.804288418380345,0.804767161486522
"2015",0.995312603108258,0.995428364053026,0.82112015931301,0.821614512208442,0.8239295713509,0.824425615644309
"2017",0.988249297752861,0.988362694115194,0.814761938353581,0.815262406374681,0.802300204969774,0.802793018363491
"2019",0.986914529024264,0.987026754920228,0.81187378350325,0.812364045449806,0.815024795907997,0.815516960639822
"2021",0.959637330689936,0.959750508815986,0.796406742216443,0.796894736543781,0.796605363579649,0.797093479611253
