"year","r_hh_sgini","r_hh_sgini_bc","r_cl_sgini_mean","r_cl_sgini_mean_bc","r_cl_sgini","r_cl_sgini_bc"
"ALL",0.433,0.433,0.325,0.325,0.374,0.375
"1969",0.401419421302246,0.402408139088705,0.315702524093718,0.317313251257462,0.316582263721247,0.318197479352478
"1970",0.37782061383534,0.378208520009709,0.289726426151391,0.290365998836052,0.303845455948265,0.304516196469122
"1971",0.385909974038591,0.386176118848273,0.295477706843762,0.295931589649974,0.308021188304651,0.30849433913154
"1972",0.382424242185942,0.382625095254317,0.295105941177693,0.295464950838493,0.311160588848247,0.311539129710594
"1973",0.376784500968833,0.376943952725486,0.284950966491305,0.285242029787006,0.303583781413585,0.303893877206653
"1974",0.380108792411408,0.380243534982273,0.285597221986382,0.285850411012966,0.310012083931729,0.310286917339471
"1975",0.379063641204623,0.379181545914175,0.290984156674783,0.291216572135384,0.317231193813061,0.317484573360835
"1976",0.37984730235994,0.379954968828861,0.289278078591918,0.289495417493941,0.323295237684989,0.323538134182122
"1977",0.392867542138677,0.392970467876734,0.30234304696916,0.302559160655343,0.336497765049832,0.336738292401547
"1978",0.386289207329151,0.386383608406212,0.292068145149968,0.292268191824729,0.3290263998128,0.329251760360617
"1979",0.385385898170163,0.385472755483246,0.289552713013792,0.289742459221533,0.329893647441946,0.330109829386535
"1980",0.389078130288918,0.38916002423341,0.28775702029342,0.287936756096226,0.33339422843361,0.333602469675604
"1981",0.405401770489815,0.405484253047393,0.302084751720854,0.302270650029605,0.345503631990183,0.345716249609869
"1982",0.406465695569037,0.406545207637812,0.303519999869455,0.303703395639769,0.347039402657652,0.347249094139619
"1983",0.412416558353188,0.412493934818168,0.308876668266099,0.309058040355509,0.352616486461768,0.352823542531327
"1984",0.419454165276784,0.419530526857934,0.316275808760081,0.316458627146648,0.362711540800236,0.362921200650408
"1985",0.421479404159861,0.421553140934554,0.316009763037901,0.316188805396563,0.365918195266668,0.366125514357471
"1986",0.423575476231471,0.423648962608339,0.319598033623142,0.319779006462113,0.368055388617886,0.368263800502721
"1987",0.427100320984825,0.427172920053491,0.324516354578598,0.324698462521683,0.369407464911182,0.369614764274208
"1988",0.434644790432842,0.434717231231233,0.333685940845037,0.33387194192689,0.37673341657281,0.376943412903118
"1989",0.434423398199024,0.434495298794554,0.333303554164019,0.33348954945094,0.380545419877209,0.380757777812409
"1990",0.441013435870214,0.441083304918991,0.336832691045134,0.3370159514864,0.383752451445211,0.38396123950367
"1991",0.439372927493718,0.439441440346905,0.33289431034991,0.333075329550753,0.382693391530607,0.382901490166568
"1992",0.447437159520285,0.447504382651226,0.33354686839721,0.333725905900376,0.38599805270941,0.386205244364112
"1993",0.458258838948112,0.458324164513184,0.336205016400424,0.336386847128601,0.389476900880974,0.389687542795998
"1994",0.481205597068455,0.481267298004096,0.358719361738751,0.358902381821271,0.406931959880321,0.407139578227199
"1995",0.471065469548412,0.471126166039785,0.34883565184767,0.349015001797206,0.401301959664875,0.401508284579869
"1996",0.462250734591242,0.462310379847318,0.343624562161607,0.343803813367742,0.397822485862849,0.398030009329652
"1997",0.449301902325973,0.449381749829494,0.335806701384237,0.336038452040817,0.397474599186317,0.397748908778579
"1999",0.453797919378483,0.453873501976651,0.344689736501477,0.344918614148556,0.409439428702911,0.409711300833524
"2001",0.469721456972592,0.469793345778377,0.357084925318599,0.35731397273702,0.423376965850672,0.423648535424662
"2003",0.459927892220681,0.459993287911313,0.344699212968943,0.344913978833721,0.411761743442349,0.41201829281521
"2005",0.472237323298201,0.472302199974023,0.351370792761591,0.3515867551419,0.418230139058316,0.418487195074946
"2007",0.472722137729753,0.472783979976971,0.352481437035327,0.352696758621788,0.41597923725272,0.416233347965764
"2009",0.472604845832299,0.472663026904048,0.356464835726669,0.356676764879895,0.428871774559784,0.429126751833601
"2011",0.478208021152713,0.478265052520772,0.352314393765896,0.352524982166235,0.433609692552076,0.433868873480082
"2013",0.484970484095176,0.485027033825129,0.362006175657811,0.362221655524274,0.432817216043112,0.433074845338376
"2015",0.476209643541571,0.476265029636425,0.347633242691132,0.347842534227972,0.426990481928815,0.427247550250264
"2017",0.47131957043505,0.471373651854492,0.34521892849126,0.345430979430137,0.430365114022182,0.430629466057822
"2019",0.478214872675588,0.478269252351806,0.341526919170285,0.341733155232581,0.434922063337568,0.435184697433781
"2021",0.497443371553872,0.497502039247181,0.352715671664932,0.352931796463746,0.450342594105461,0.450618539322437
